Date,Total Trips,Total Miles,Total Annual Members,24-hour Passes Purchased,3-day passes purchased
4/1/17,23849,67299,210739,767,43
4/2/17,39779,130087,210915,3639,58
4/3/17,43484,104217,211075,970,68
4/4/17,29990,63091,211171,183,23
4/5/17,47635,108281,211310,1192,59
4/6/17,18020,44411,211362,67,12
4/7/17,35779,81358,211440,456,43
4/8/17,35936,108886,211589,2719,83
4/9/17,43895,137240,211806,4390,114
4/10/17,50422,124356,212050,2164,139
4/11/17,57309,150222,212298,2699,135
4/12/17,51188,113959,212484,1493,108
4/13/17,52915,131228,212648,2388,129
4/14/17,52230,149382,212812,3451,273
4/15/17,42531,134526,212950,3981,235
4/16/17,48137,157912,213172,6143,361
4/17/17,53247,127619,213385,2019,234
4/18/17,53809,126129,213580,1624,194
4/19/17,45788,97587,213703,738,55
4/20/17,44260,108427,213819,1065,172
4/21/17,39868,92348,213913,1194,129
4/22/17,34596,101444,214028,5173,102
4/23/17,49106,142563,214278,4541,420
4/24/17,48692,103241,214462,1143,123
4/25/17,20332,47829,214552,201,36
4/26/17,37727,81859,214654,595,109
4/27/17,52035,122394,214793,1412,266
4/28/17,62199,163665,214965,2963,458
4/29/17,57701,180290,215219,5699,562
4/30/17,42928,125305,215455,2921,340
5/1/17,56218,136675,215724,1813,311
5/2/17,61205,142585,216017,1827,309
5/3/17,59251,141936,216239,1537,247
5/4/17,57428,144583,216436,1626,239
5/5/17,24009,58278,216535,355,52
5/6/17,46616,127879,216768,3349,363
5/7/17,34293,90625,216928,1921,196
5/8/17,51553,114260,217147,1230,253
5/9/17,56461,118257,217341,1179,199
5/10/17,58452,136080,217512,1362,225
5/11/17,57208,135699,217673,1313,205
5/12/17,56671,132477,217840,1784,189
5/13/17,5704,28193,217905,117,0
5/14/17,38729,114819,218120,2664,222
5/15/17,54715,129870,218356,1279,185
5/16/17,64504,157411,218690,1850,283
5/17/17,65791,153500,219023,1864,241
5/18/17,63753,149837,219304,1929,270
5/19/17,62143,145832,219564,2310,275
5/20/17,47858,135405,219776,3486,251
5/21/17,54873,160019,220097,4903,287
5/22/17,24627,61049,220269,218,22
5/23/17,60024,139680,220513,1579,224
5/24/17,60621,135482,220735,1558,153
5/25/17,17494,50743,220840,143,27
5/26/17,53763,133402,221049,2224,306
5/27/17,46533,145924,221271,4590,511
5/28/17,46724,151063,221515,5229,374
5/29/17,26321,75825,221745,1149,77
5/30/17,50192,114629,222057,962,204
5/31/17,59494,142097,222764,1596,197
6/1/17,67404,163063,222977,1957,289
6/2/17,66905,157299,223162,2315,357
6/3/17,56263,155712,223356,4627,356
6/4/17,40138,100571,223520,2270,103
